Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
382 ,0 ,0 ,186 ,0 ,1047 ,739 ,7 ,24 
382 ,0 ,0 ,186 ,0 ,1047 ,739 ,28 ,37 
382 ,0 ,0 ,186 ,0 ,1111 ,784 ,7 ,12 
281 ,0 ,0 ,186 ,0 ,1104 ,774 ,28 ,22 
339 ,0 ,0 ,185 ,0 ,1069 ,754 ,7 ,21 
339 ,0 ,0 ,185 ,0 ,1069 ,754 ,28 ,32 
295 ,0 ,0 ,185 ,0 ,1069 ,769 ,7 ,15 
295 ,0 ,0 ,185 ,0 ,1069 ,769 ,28 ,25 
238 ,0 ,0 ,185 ,0 ,1118 ,789 ,28 ,18 
296 ,0 ,0 ,192 ,0 ,1085 ,765 ,7 ,14 
296 ,0 ,0 ,192 ,0 ,1085 ,765 ,28 ,22 
296 ,0 ,0 ,192 ,0 ,1085 ,765 ,90 ,29 
331 ,0 ,0 ,192 ,0 ,879 ,825 ,3 ,14 
331 ,0 ,0 ,192 ,0 ,978 ,825 ,7 ,16 
331 ,0 ,0 ,192 ,0 ,978 ,825 ,28 ,31 
331 ,0 ,0 ,192 ,0 ,978 ,825 ,90 ,37 
349 ,0 ,0 ,192 ,0 ,1047 ,806 ,7 ,18 
349 ,0 ,0 ,192 ,0 ,1047 ,806 ,28 ,33 
349 ,0 ,0 ,192 ,0 ,1047 ,806 ,90 ,40 
349 ,0 ,0 ,192 ,0 ,1047 ,806 ,180 ,41 
349 ,0 ,0 ,192 ,0 ,1047 ,806 ,360 ,42 
302 ,0 ,0 ,203 ,0 ,974 ,817 ,14 ,18 
302 ,0 ,0 ,203 ,0 ,974 ,817 ,180 ,27 
525 ,0 ,0 ,189 ,0 ,1125 ,613 ,180 ,62 
500 ,0 ,0 ,200 ,0 ,1125 ,613 ,90 ,47 
500 ,0 ,0 ,200 ,0 ,1125 ,613 ,180 ,51 
500 ,0 ,0 ,200 ,0 ,1125 ,613 ,270 ,55 
540 ,0 ,0 ,173 ,0 ,1125 ,613 ,3 ,42 
252 ,0 ,0 ,185 ,0 ,1111 ,784 ,7 ,14 
252 ,0 ,0 ,185 ,0 ,1111 ,784 ,28 ,20 
339 ,0 ,0 ,185 ,0 ,1060 ,754 ,28 ,32 
393 ,0 ,0 ,192 ,0 ,940 ,758 ,3 ,19 
393 ,0 ,0 ,192 ,0 ,940 ,758 ,28 ,40 
393 ,0 ,0 ,192 ,0 ,940 ,758 ,90 ,49 
382 ,0 ,0 ,185 ,0 ,1047 ,739 ,7 ,24 
382 ,0 ,0 ,185 ,0 ,1047 ,739 ,28 ,37 
252 ,0 ,0 ,186 ,0 ,1111 ,784 ,7 ,12 
252 ,0 ,0 ,185 ,0 ,1111 ,784 ,28 ,20 
310 ,0 ,0 ,192 ,0 ,970 ,850 ,7 ,15 
310 ,0 ,0 ,192 ,0 ,970 ,850 ,28 ,28 
310 ,0 ,0 ,192 ,0 ,970 ,850 ,90 ,35 
310 ,0 ,0 ,192 ,0 ,970 ,850 ,180 ,37 
310 ,0 ,0 ,192 ,0 ,970 ,850 ,360 ,38 
525 ,0 ,0 ,189 ,0 ,1125 ,613 ,3 ,34 
525 ,0 ,0 ,189 ,0 ,1125 ,613 ,7 ,42 
525 ,0 ,0 ,189 ,0 ,1125 ,613 ,14 ,48 
525 ,0 ,0 ,189 ,0 ,1125 ,613 ,28 ,56 
525 ,0 ,0 ,189 ,0 ,1125 ,613 ,90 ,59 
525 ,0 ,0 ,189 ,0 ,1125 ,613 ,270 ,67 
322 ,0 ,0 ,203 ,0 ,974 ,800 ,14 ,21 
322 ,0 ,0 ,203 ,0 ,974 ,800 ,28 ,25 
322 ,0 ,0 ,203 ,0 ,974 ,800 ,180 ,30 
302 ,0 ,0 ,203 ,0 ,974 ,817 ,28 ,22 
397 ,0 ,0 ,185 ,0 ,1040 ,734 ,28 ,39 
480 ,0 ,0 ,192 ,0 ,936 ,721 ,3 ,24 
522 ,0 ,0 ,146 ,0 ,896 ,896 ,7 ,51 
522 ,0 ,0 ,146 ,0 ,896 ,896 ,28 ,75 
273 ,105 ,82 ,210 ,9 ,904 ,680 ,28 ,37 
162 ,190 ,148 ,179 ,19 ,838 ,741 ,28 ,34 
154 ,144 ,112 ,220 ,10 ,923 ,658 ,28 ,17 
147 ,115 ,89 ,202 ,9 ,860 ,829 ,28 ,20 
152 ,178 ,139 ,168 ,18 ,944 ,695 ,28 ,36 
310 ,143 ,111 ,168 ,22 ,914 ,651 ,28 ,34 
144 ,0 ,175 ,158 ,18 ,943 ,844 ,28 ,15 
304 ,140 ,0 ,214 ,6 ,895 ,722 ,28 ,33 
374 ,0 ,0 ,190 ,7 ,1013 ,730 ,28 ,39 
159 ,149 ,116 ,175 ,15 ,953 ,720 ,28 ,28 
153 ,239 ,0 ,200 ,6 ,1002 ,684 ,28 ,27 
310 ,143 ,0 ,168 ,10 ,914 ,804 ,28 ,45 
305 ,0 ,100 ,196 ,10 ,959 ,705 ,28 ,30 
151 ,0 ,184 ,167 ,12 ,991 ,772 ,28 ,16 
142 ,167 ,130 ,174 ,11 ,883 ,785 ,28 ,45 
298 ,137 ,107 ,201 ,6 ,878 ,655 ,28 ,54 
321 ,164 ,0 ,190 ,5 ,870 ,774 ,28 ,57 
366 ,187 ,0 ,191 ,7 ,824 ,757 ,28 ,66 
280 ,129 ,100 ,172 ,9 ,825 ,805 ,28 ,53 
252 ,97 ,76 ,194 ,8 ,835 ,821 ,28 ,33 
165 ,0 ,150 ,182 ,12 ,1023 ,729 ,28 ,18 
156 ,243 ,0 ,180 ,11 ,1022 ,698 ,28 ,37 
160 ,188 ,146 ,203 ,11 ,829 ,710 ,28 ,33 
298 ,0 ,107 ,186 ,6 ,879 ,815 ,28 ,43 
318 ,0 ,126 ,210 ,6 ,861 ,737 ,28 ,40 
287 ,121 ,94 ,188 ,9 ,904 ,696 ,28 ,42 
326 ,166 ,0 ,174 ,9 ,882 ,790 ,28 ,61 
356 ,0 ,142 ,193 ,11 ,801 ,778 ,28 ,41 
132 ,207 ,161 ,179 ,5 ,867 ,736 ,28 ,33 
322 ,149 ,0 ,186 ,8 ,951 ,709 ,28 ,52 
164 ,0 ,200 ,181 ,13 ,849 ,846 ,28 ,15 
314 ,0 ,113 ,170 ,10 ,925 ,783 ,28 ,39 
321 ,0 ,128 ,182 ,11 ,870 ,780 ,28 ,37 
140 ,164 ,128 ,237 ,6 ,869 ,656 ,28 ,35 
288 ,121 ,0 ,177 ,7 ,908 ,829 ,28 ,42 
298 ,0 ,107 ,210 ,11 ,880 ,744 ,28 ,32 
265 ,111 ,86 ,195 ,6 ,833 ,790 ,28 ,42 
160 ,250 ,0 ,168 ,12 ,1049 ,688 ,28 ,40 
166 ,260 ,0 ,183 ,13 ,859 ,827 ,28 ,38 
276 ,116 ,90 ,180 ,9 ,870 ,768 ,28 ,44 
322 ,0 ,116 ,196 ,10 ,818 ,813 ,28 ,31 
149 ,139 ,109 ,193 ,6 ,892 ,780 ,28 ,24 
159 ,187 ,0 ,176 ,11 ,990 ,789 ,28 ,33 
261 ,100 ,78 ,201 ,9 ,864 ,761 ,28 ,32 
237 ,92 ,71 ,247 ,6 ,853 ,695 ,28 ,29 
313 ,0 ,113 ,178 ,8 ,1002 ,689 ,28 ,37 
155 ,183 ,0 ,193 ,9 ,1047 ,697 ,28 ,18 
146 ,230 ,0 ,202 ,3 ,827 ,872 ,28 ,33 
296 ,0 ,107 ,221 ,11 ,819 ,778 ,28 ,31 
133 ,210 ,0 ,196 ,3 ,949 ,795 ,28 ,31 
313 ,145 ,0 ,178 ,8 ,867 ,824 ,28 ,44 
152 ,0 ,112 ,184 ,8 ,992 ,816 ,28 ,12 
153 ,145 ,113 ,178 ,8 ,1002 ,689 ,28 ,26 
140 ,133 ,103 ,200 ,7 ,916 ,753 ,28 ,36 
149 ,236 ,0 ,176 ,13 ,847 ,893 ,28 ,33 
300 ,0 ,120 ,212 ,10 ,878 ,728 ,28 ,24 
153 ,145 ,113 ,178 ,8 ,867 ,824 ,28 ,26 
148 ,0 ,137 ,158 ,16 ,1002 ,830 ,28 ,18 
326 ,0 ,138 ,199 ,11 ,801 ,792 ,28 ,41 
153 ,145 ,0 ,178 ,8 ,1000 ,822 ,28 ,19 
262 ,111 ,86 ,195 ,5 ,895 ,733 ,28 ,34 
158 ,0 ,195 ,220 ,11 ,898 ,713 ,28 ,9 
151 ,0 ,185 ,167 ,16 ,1074 ,678 ,28 ,14 
273 ,0 ,90 ,199 ,11 ,931 ,762 ,28 ,32 
149 ,118 ,92 ,183 ,7 ,953 ,780 ,28 ,24 
143 ,169 ,143 ,191 ,8 ,967 ,643 ,28 ,30 
260 ,101 ,78 ,171 ,10 ,936 ,763 ,28 ,50 
313 ,161 ,0 ,178 ,10 ,917 ,759 ,28 ,52 
284 ,120 ,0 ,168 ,7 ,970 ,794 ,28 ,41 
336 ,0 ,0 ,182 ,3 ,986 ,817 ,28 ,45 
145 ,0 ,134 ,181 ,11 ,979 ,812 ,28 ,13 
150 ,237 ,0 ,174 ,12 ,1069 ,675 ,28 ,37 
144 ,170 ,133 ,192 ,8 ,814 ,805 ,28 ,30 
331 ,170 ,0 ,195 ,8 ,811 ,802 ,28 ,57 
155 ,0 ,143 ,193 ,9 ,1047 ,697 ,28 ,13 
155 ,183 ,0 ,193 ,9 ,877 ,868 ,28 ,24 
135 ,0 ,166 ,180 ,10 ,961 ,805 ,28 ,13 
266 ,112 ,87 ,178 ,10 ,910 ,745 ,28 ,39 
314 ,145 ,113 ,179 ,8 ,869 ,690 ,28 ,46 
313 ,145 ,0 ,127 ,8 ,1000 ,822 ,28 ,45 
146 ,173 ,0 ,182 ,3 ,986 ,817 ,28 ,24 
144 ,136 ,106 ,178 ,7 ,941 ,774 ,28 ,26 
148 ,0 ,182 ,181 ,15 ,839 ,884 ,28 ,16 
277 ,117 ,91 ,191 ,7 ,946 ,666 ,28 ,44 
298 ,0 ,107 ,164 ,13 ,953 ,784 ,28 ,36 
313 ,145 ,0 ,178 ,8 ,1002 ,689 ,28 ,41 
155 ,184 ,143 ,194 ,9 ,880 ,699 ,28 ,29 
289 ,134 ,0 ,195 ,6 ,924 ,760 ,28 ,46 
148 ,175 ,0 ,171 ,2 ,1000 ,828 ,28 ,27 
145 ,0 ,179 ,202 ,8 ,824 ,869 ,28 ,11 
313 ,0 ,0 ,178 ,8 ,1000 ,822 ,28 ,25 
136 ,162 ,126 ,172 ,10 ,923 ,764 ,28 ,29 
155 ,0 ,143 ,193 ,9 ,877 ,868 ,28 ,10 
255 ,99 ,77 ,189 ,6 ,919 ,749 ,28 ,34 
162 ,207 ,172 ,216 ,10 ,822 ,638 ,28 ,40 
136 ,196 ,98 ,199 ,6 ,847 ,783 ,28 ,27 
164 ,163 ,128 ,197 ,8 ,961 ,641 ,28 ,27 
162 ,214 ,164 ,202 ,10 ,820 ,680 ,28 ,31 
157 ,214 ,152 ,200 ,9 ,819 ,704 ,28 ,33 
149 ,153 ,194 ,192 ,8 ,935 ,623 ,28 ,25 
135 ,105 ,193 ,196 ,6 ,965 ,643 ,28 ,22 
159 ,209 ,161 ,201 ,7 ,848 ,669 ,28 ,31 
144 ,15 ,195 ,176 ,6 ,1021 ,709 ,28 ,15 
154 ,174 ,185 ,228 ,7 ,845 ,612 ,28 ,24 
167 ,187 ,195 ,185 ,7 ,898 ,636 ,28 ,24 
184 ,86 ,190 ,213 ,6 ,923 ,623 ,28 ,23 
156 ,178 ,187 ,221 ,7 ,854 ,614 ,28 ,29 
237 ,92 ,72 ,247 ,6 ,853 ,695 ,28 ,29 
313 ,0 ,113 ,179 ,8 ,1002 ,689 ,28 ,37 
155 ,183 ,0 ,193 ,9 ,1047 ,697 ,28 ,18 
146 ,231 ,0 ,203 ,3 ,827 ,872 ,28 ,33 
296 ,0 ,107 ,221 ,11 ,819 ,778 ,28 ,31 
133 ,210 ,0 ,196 ,3 ,949 ,795 ,28 ,29 
313 ,145 ,0 ,179 ,8 ,867 ,824 ,28 ,41 
152 ,0 ,112 ,184 ,8 ,992 ,816 ,28 ,12 
153 ,145 ,113 ,179 ,8 ,1002 ,689 ,28 ,26 
140 ,133 ,103 ,200 ,7 ,916 ,753 ,28 ,36 
150 ,236 ,0 ,176 ,13 ,847 ,893 ,28 ,33 
300 ,0 ,120 ,212 ,10 ,878 ,728 ,28 ,24 
153 ,145 ,113 ,179 ,8 ,867 ,824 ,28 ,26 
148 ,0 ,137 ,158 ,16 ,1002 ,830 ,28 ,18 
327 ,0 ,138 ,199 ,11 ,801 ,793 ,28 ,39 
153 ,145 ,0 ,178 ,8 ,1000 ,822 ,28 ,19 
262 ,111 ,86 ,195 ,5 ,895 ,733 ,28 ,34 
158 ,0 ,195 ,220 ,11 ,898 ,713 ,28 ,9 
151 ,0 ,185 ,167 ,16 ,1075 ,678 ,28 ,14 
273 ,0 ,90 ,199 ,11 ,931 ,762 ,28 ,32 
149 ,118 ,92 ,183 ,7 ,953 ,780 ,28 ,24 
143 ,169 ,143 ,191 ,8 ,967 ,644 ,28 ,30 
260 ,101 ,78 ,171 ,10 ,936 ,763 ,28 ,50 
313 ,161 ,0 ,178 ,10 ,917 ,760 ,28 ,52 
284 ,120 ,0 ,168 ,7 ,970 ,794 ,28 ,41 
337 ,0 ,0 ,182 ,3 ,986 ,817 ,28 ,45 
145 ,0 ,134 ,181 ,11 ,980 ,812 ,28 ,13 
150 ,237 ,0 ,174 ,12 ,1069 ,675 ,28 ,37 
144 ,170 ,133 ,192 ,9 ,814 ,805 ,28 ,30 
331 ,170 ,0 ,195 ,8 ,811 ,802 ,28 ,57 
155 ,0 ,143 ,193 ,9 ,1047 ,697 ,28 ,13 
155 ,183 ,0 ,193 ,9 ,877 ,868 ,28 ,24 
135 ,0 ,166 ,180 ,10 ,961 ,805 ,28 ,13 
266 ,112 ,88 ,178 ,10 ,910 ,745 ,28 ,39 
314 ,145 ,113 ,179 ,8 ,869 ,690 ,28 ,46 
313 ,145 ,0 ,127 ,8 ,1000 ,822 ,28 ,45 
146 ,173 ,0 ,182 ,3 ,986 ,817 ,28 ,24 
144 ,136 ,106 ,178 ,8 ,942 ,774 ,28 ,26 
148 ,0 ,182 ,181 ,15 ,839 ,884 ,28 ,16 
277 ,117 ,91 ,191 ,7 ,947 ,666 ,28 ,44 
298 ,0 ,108 ,164 ,13 ,953 ,784 ,28 ,36 
313 ,145 ,0 ,179 ,8 ,1002 ,689 ,28 ,41 
155 ,184 ,143 ,194 ,9 ,880 ,699 ,28 ,29 
289 ,134 ,0 ,195 ,6 ,924 ,760 ,28 ,46 
148 ,175 ,0 ,171 ,2 ,1000 ,829 ,28 ,27 
145 ,0 ,179 ,202 ,8 ,824 ,869 ,28 ,11 
313 ,0 ,0 ,178 ,8 ,1000 ,822 ,28 ,25 
136 ,162 ,126 ,172 ,10 ,923 ,764 ,28 ,29 
155 ,0 ,143 ,193 ,9 ,877 ,868 ,28 ,10 
255 ,99 ,77 ,189 ,7 ,919 ,749 ,28 ,34 
273 ,105 ,82 ,210 ,9 ,904 ,680 ,28 ,37 
162 ,190 ,148 ,179 ,19 ,838 ,741 ,28 ,34 
154 ,144 ,112 ,220 ,10 ,923 ,658 ,28 ,17 
147 ,115 ,89 ,202 ,9 ,860 ,830 ,28 ,20 
152 ,178 ,139 ,168 ,18 ,944 ,695 ,28 ,36 
310 ,143 ,111 ,168 ,22 ,914 ,651 ,28 ,38 
144 ,0 ,175 ,158 ,18 ,943 ,845 ,28 ,15 
304 ,140 ,0 ,214 ,6 ,896 ,723 ,28 ,33 
374 ,0 ,0 ,190 ,7 ,1013 ,730 ,28 ,39 
159 ,149 ,116 ,175 ,15 ,953 ,720 ,28 ,28 
153 ,239 ,0 ,200 ,6 ,1002 ,684 ,28 ,27 
310 ,143 ,0 ,168 ,10 ,914 ,804 ,28 ,45 
305 ,0 ,100 ,196 ,10 ,959 ,705 ,28 ,30 
151 ,0 ,184 ,167 ,12 ,991 ,772 ,28 ,16 
142 ,167 ,130 ,174 ,11 ,883 ,785 ,28 ,45 
298 ,137 ,107 ,201 ,6 ,878 ,655 ,28 ,54 
321 ,164 ,0 ,191 ,5 ,870 ,774 ,28 ,57 
366 ,187 ,0 ,191 ,7 ,824 ,757 ,28 ,66 
280 ,129 ,100 ,172 ,10 ,825 ,805 ,28 ,53 
252 ,97 ,76 ,194 ,8 ,836 ,821 ,28 ,33 
165 ,0 ,150 ,182 ,12 ,1023 ,729 ,28 ,18 
156 ,244 ,0 ,180 ,11 ,1022 ,698 ,28 ,37 
160 ,188 ,146 ,203 ,11 ,829 ,710 ,28 ,35 
298 ,0 ,107 ,186 ,6 ,879 ,815 ,28 ,43 
318 ,0 ,127 ,210 ,6 ,861 ,737 ,28 ,40 
287 ,121 ,94 ,188 ,9 ,904 ,696 ,28 ,44 
326 ,166 ,0 ,174 ,9 ,882 ,790 ,28 ,61 
356 ,0 ,142 ,193 ,11 ,801 ,778 ,28 ,41 
132 ,207 ,161 ,179 ,6 ,867 ,736 ,28 ,33 
323 ,149 ,0 ,186 ,9 ,951 ,710 ,28 ,52 
164 ,0 ,200 ,181 ,13 ,849 ,846 ,28 ,15 
314 ,0 ,113 ,170 ,10 ,925 ,783 ,28 ,39 
321 ,0 ,128 ,183 ,12 ,870 ,780 ,28 ,37 
140 ,164 ,128 ,237 ,6 ,869 ,656 ,28 ,35 
288 ,121 ,0 ,177 ,7 ,908 ,830 ,28 ,42 
298 ,0 ,107 ,210 ,11 ,880 ,744 ,28 ,32 
265 ,111 ,87 ,196 ,6 ,833 ,790 ,28 ,42 
160 ,250 ,0 ,168 ,12 ,1049 ,688 ,28 ,40 
166 ,260 ,0 ,183 ,13 ,859 ,827 ,28 ,38 
276 ,116 ,90 ,180 ,9 ,870 ,768 ,28 ,44 
322 ,0 ,116 ,196 ,10 ,818 ,813 ,28 ,31 
149 ,139 ,109 ,193 ,6 ,892 ,780 ,28 ,24 
159 ,187 ,0 ,176 ,11 ,990 ,789 ,28 ,33 
261 ,101 ,78 ,201 ,9 ,865 ,762 ,28 ,32 
